CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"85608","ACCT 101","01","Principles of Accounting I","","","","","Y","3","11:00 am-12:15 pm","TR","Fredericksburg","WOOD","202","Henderson D",""
"86605","ACCT 101","02","Principles of Accounting I","","","","","Y","3","12:30 pm-1:45 pm","TR","Fredericksburg","WOOD","249","Henderson D",""
"87386","ACCT 101","03","Principles of Accounting I","","","","","","3","10:00 am-10:50 am","MWF","Fredericksburg","WOOD","202","Machande K",""
"87671","ACCT 101","04","Principles of Accounting I","","","","","Y","3","6:00 pm-8:30 pm","M","Fredericksburg","WOOD","249","Foltz S",""
"86379","ACCT 102","01","Principles of Accounting II","","","Y","","Y","3","12:00 pm-12:50 pm","MWF","Fredericksburg","WOOD","202","Sarkar S",""
"85630","ACCT 301","01","Intermediate Accounting I","","","Y","","Y","3","9:00 am-9:50 am","MWF","Fredericksburg","WOOD","132","Sarkar S",""
"87373","ACCT 301","02","Intermediate Accounting I","","","Y","","Y","3","10:00 am-10:50 am","MWF","Fredericksburg","WOOD","132","Sarkar S",""
"85631","ACCT 310","01","Federal Taxation of Individual","","","Y","","Y","3","11:00 am-12:15 pm","TR","Fredericksburg","WOOD","133","Frackelton R",""
"85646","ACCT 430","01","Advanced Accounting Problems","","","Y","","Y","3","1:00 pm-1:50 pm","MWF","Fredericksburg","WOOD","132","Covington D",""
"85929","AMST 201","01","Intro to American Studies","","","","SI,WI","","3","9:00 am-9:50 am","MWF","Fredericksburg","MONR","211","Devlin E",""
"87637","AMST 204","01","American Foodways","","","","SI","","3","10:00 am-10:50 am","MWF","Fredericksburg","MONR","233","Moon K",""
"87638","AMST 303C","01","Civil Rights & American Memory","","","","SI","","3","1:00 pm-1:50 pm","MWF","Fredericksburg","MONR","233","Devlin E",""
"87915","AMST 485","01","Senior Thesis","Y","","","WI","","3","TBA","TBA","Fredericksburg","TBA","TBA","Moon K",""
"87932","AMST 485","02","Senior Thesis","Y","","","WI","","3","TBA","TBA","Fredericksburg","TBA","TBA","Devlin E",""
"80650","ANTH 101","01","Intro Cultural & Social Anthro","","","","","","3","3:00 pm-3:50 pm","MWF","Fredericksburg","MONR","346","James J",""
"85577","ANTH 101","02","Intro Cultural & Social Anthro","","","","","","3","11:00 am-12:15 pm","TR","Fredericksburg","MONR","116","Mentore L",""
"87788","ANTH 101","03","Intro Cultural & Social Anthro","","","","HN","","3","2:00 pm-3:15 pm","TR","Fredericksburg","MONR","211","Gable E",""
"83552","ANTH 298","01","Ethnography","","Y","","SI,WI","","3","11:00 am-11:50 am","MWF","Fredericksburg","MONR","213","James J",""
"83553","ANTH 299","01","Arguments in Anthropology","","Y","","","","3","12:00 pm-12:50 pm","MWF","Fredericksburg","MONR","213","James J",""
"87789","ANTH 309","01","Anthropology of Art","","","","HN","","3","6:00 pm-8:45 pm","T","Fredericksburg","MONR","213","Gable E",""
"87790","ANTH 317","01","World Economies","","","","","","3","2:00 pm-3:15 pm","TR","Fredericksburg","MONR","115","Mentore L",""
CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
"87791","ANTH 369A","01","Field Research: Anthro of Art","","Y","Y","","","1","1:00 pm-3:00 pm","F","Fredericksburg","MONR","115","Gable E",""
"87792","ANTH 480","01","Senior Research","","","Y","","","3","6:00 pm-8:45 pm","R","Fredericksburg","MONR","213","Mentore L",""
"80403","ARAB 101","01","Beginning Arabic I","","","","","","3","12:00 pm-12:50 pm","MWF","Fredericksburg","CMBS","111","Al-Sayed Ahmad M",""
"80404","ARAB 101","02","Beginning Arabic I","","","","","","3","10:00 am-10:50 am","MWF","Fredericksburg","CMBS","213","Al-Sayed Ahmad M",""
"80405","ARAB 201","01","Intermediate Arabic I","","","","","","3","9:00 am-9:50 am","MWF","Fredericksburg","CMBS","112","Al-Sayed Ahmad M",""
"87295","ARAB 301","01","Advanced Arabic","","","Y","","","3","3:00 pm-3:50 pm","MWF","Fredericksburg","CMBS","236","Al-Sayed Ahmad M",""
