,CRN,Course,Sec,Title,POI,CO,PRE,ATR,WL,CR,TIME,Days,Campus,Bldg/s,Room/s,Instructor/s,Additional Requirements
180,84911,CPSC 106,01,Digital Storytelling,,,,,,3,TBA,TBA,Fredericksburg,ON,LINE,Bond P,
181,84912,CPSC 106,02,Digital Storytelling,,,,,,3,6:00 pm-8:00 pm,M,Fredericksburg,TRIN,B6,Dean A,
182,84908,CPSC 110,01,Intro to Computer Science,,,,,,3,8:00 am-9:15 am,TR,Fredericksburg,TRIN,B6,Polack J,
183,80417,CPSC 110,02,Intro to Computer Science,,,,,,3,9:00 am-9:50 am,MWF,Fredericksburg,TRIN,B7,Finlayson I,
184,80418,CPSC 110,03,Intro to Computer Science,,,,,,3,11:00 am-12:15 pm,TR,Fredericksburg,TRIN,B7,Jennings D,
185,80419,CPSC 110,04,Intro to Computer Science,,,,,,3,2:00 pm-3:15 pm,TR,Fredericksburg,TRIN,B7,Jennings D,
186,84688,CPSC 110,05,Intro to Computer Science,,,,,,3,6:00 pm-8:45 pm,W,Fredericksburg,TRIN,B52,Staff A,
187,86170,CPSC 110,06,Intro to Computer Science,,,,,,3,6:00 pm-7:15 pm,TR,Fredericksburg,TRIN,B52,Taft R,
188,87164,CPSC 110,07,Intro to Computer Science,,,,,,3,7:00 pm-8:15 pm,TR,Fredericksburg,TRIN,B6,Kemmey W,
189,80425,CPSC 220,01,Comp Progr & Problem Solving,,,Y,,,4,10:00 am-11:50 am,MW,Fredericksburg,TRIN,B52,Self J,
190,80426,CPSC 220,02,Comp Progr & Problem Solving,,,Y,,,4,2:00 pm-3:50 pm,MW,Fredericksburg,TRIN,B52,Self J,
191,84350,CPSC 220,03,Comp Progr & Problem Solving,,,Y,,,4,6:00 pm-8:45 pm,M,Fredericksburg,TRIN,B52,Foster G,
192,87882,CPSC 220,04,Comp Progr & Problem Solving,,,Y,,,4,2:00 pm-3:50 pm,TR,Fredericksburg,TRIN,B52,Cooper E,
193,85762,CPSC 225,01,Software Development Tools,,,Y,,,1,TBA,TBA,Fredericksburg,ON,LINE,Finlayson I,
194,85660,CPSC 240,01,Obj-Oriented Analysis & Design,,,Y,WI,,4,11:00 am-12:50 pm,MW,Fredericksburg,TRIN,B6,Ravishankar V,
195,85661,CPSC 240,02,Obj-Oriented Analysis & Design,,,Y,WI,,4,2:00 pm-3:50 pm,MW,Fredericksburg,TRIN,B6,Ravishankar V,
196,86731,CPSC 240,03,Obj-Oriented Analysis & Design,,,Y,WI,,4,9:00 am-10:50 am,TR,Fredericksburg,TRIN,B7,Finlayson I,
198,86732,CPSC 284,01,Applied Discrete Mathematics,,,Y,,,4,9:00 am-10:50 am9:00 am-9:50 am,FMW,Fredericksburg,TRINTRIN,B52B52,Staff A,
199,86733,CPSC 284,02,Applied Discrete Mathematics,,,Y,,,4,12:00 pm-1:50 pm12:00 pm-12:50 pm,FMW,Fredericksburg,TRINTRIN,B52B52,Anewalt K,
200,86734,CPSC 305,01,Comp Sys & Architecture,,,Y,,,4,8:00 am-9:50 am,TR,Fredericksburg,TRIN,B52,Cooper E,
201,86735,CPSC 305,02,Comp Sys & Architecture,,,Y,,,4,11:00 am-12:50 pm,TR,Fredericksburg,TRIN,B52,Cooper E,
202,87682,CPSC 318,01,System and Network Administrat,,,Y,,,4,6:00 pm-8:45 pm,R,Fredericksburg,TRIN,B7,Allwine KPeck J,
203,80430,CPSC 326,01,Theory of Computation,,,Y,,,4,11:00 am-12:50 pm,MW,Fredericksburg,TRIN,138,Marshall A,
204,86173,CPSC 340,01,Data Structures and Algorithms,,,Y,,,4,11:00 am-12:50 pm,TR,Fredericksburg,TRIN,B6,Polack J,
205,87683,CPSC 345,01,Intro to Computer Security,,,Y,,,3,12:30 pm-1:45 pm,TR,Fredericksburg,TRIN,B7,Ravishankar V,
206,86175,CPSC 350,01,Applications of Databases,,,Y,,,4,9:00 am-10:50 am,MW,Fredericksburg,HCC,327,Zacharski R,
207,86176,CPSC 350,02,Applications of Databases,,,Y,,,4,2:00 pm-3:50 pm,MW,Fredericksburg,HCC,327,Zacharski R,
208,80434,CPSC 405,01,Operating Sys & Programming,,,Y,,,4,9:30 am-11:20 am,TR,Fredericksburg,HCC,327,Zacharski R,
209,87684,CPSC 415,01,Artificial Intelligence,,,Y,,,3,12:30 pm-1:45 pm,TR,Fredericksburg,TRIN,B36,Davies S,
210,81397,CPSC 430,01,Software Engineering,,,Y,"SI,WI",,4,9:00 am-10:50 am,MW,Fredericksburg,TRIN,B6,Polack J,
211,86738,CPSC 445,01,Software Security,,,Y,,,3,2:00 pm-3:15 pm,MW,Fredericksburg,TRIN,B7,Marshall A,
212,87686,CPSC 470A2,01,Human-Computer Interaction,,,Y,,,3,3:30 pm-4:45 pm,TR,Fredericksburg,TRIN,B7,Self J,
216,86872,DATA 101,01,Introduction to Data Science,,,,HN,,3,10:00 am-10:50 am,MWF,Fredericksburg,TRIN,B7,Davies S,
217,86873,DATA 101,02,Introduction to Data Science,,,,HN,,3,11:00 am-11:50 am,MWF,Fredericksburg,TRIN,B7,Davies S,
218,87687,DATA 370EE,01,The Data Science Lifecycle,,,Y,,,3,6:00 pm-8:45 pm,W,Fredericksburg,TRIN,B7,Wolfe T,
